# name    zcmb        zhel        dz         mb           dmb         s           ds          color       dcolor    cov_m_s     cov_m_c    cov_s_c
1990O     0.030630    0.030630    0.000000   16.196260    0.023420    1.034910    0.032780    0.016690    0.023110  -0.000100   0.000340  -0.000050
1990af    0.050220    0.050220    0.000000   17.723230    0.005780    0.737140    0.000420   -0.000900    0.008910   0.000000   0.000020   0.000000
1992ae    0.074790    0.074790    0.000000   18.392060    0.036500    0.938560    0.020520   -0.022520    0.025010  -0.000310   0.000680  -0.000170
1992ag    0.025940    0.025940    0.000000   16.240850    0.021290    1.030190    0.026630    0.154590    0.017950  -0.000180   0.000260  -0.000080
1992aq    0.100830    0.100830    0.000000   19.298980    0.027750    0.839060    0.031610   -0.047780    0.020370  -0.000230   0.000270  -0.000000
1992bc    0.019830    0.019830    0.000000   15.085520    0.007250    1.033110    0.007480   -0.031470    0.008000   0.000030   0.000030   0.000010
1992bh    0.045120    0.045120    0.000000   17.592250    0.015910    0.984850    0.016010    0.095290    0.014330  -0.000090   0.000130  -0.000060
1992bl    0.042910    0.042910    0.000000   17.275070    0.032530    0.783810    0.015910   -0.013820    0.019660  -0.000270   0.000490  -0.000150
1992bo    0.018140    0.018140    0.000000   15.752590    0.011930    0.738690    0.005960    0.055330    0.011160   0.000050   0.000070   0.000010
1992bp    0.078850    0.078850    0.000000   18.281490    0.011010    0.873420    0.013550   -0.043480    0.012290   0.000040   0.000050  -0.000010
1992br    0.087760    0.087760    0.000000   19.397700    0.072700    0.649620    0.028880    0.032140    0.036660  -0.001670   0.002200  -0.000620
1992bs    0.063360    0.063360    0.000000   18.176640    0.040750    1.000930    0.018160   -0.034390    0.019490  -0.000350   0.000630  -0.000140
1992P     0.026320    0.026320    0.000000   16.036830    0.018190    1.139420    0.083660   -0.004860    0.017560  -0.000510   0.000130   0.000480
1993ag    0.050100    0.050100    0.000000   17.799300    0.014310    0.914720    0.017910    0.095820    0.017330   0.000090   0.000120  -0.000040
1993B     0.070760    0.070760    0.000000   18.377210    0.053890    0.988300    0.021560    0.040800    0.026260  -0.000550   0.001190  -0.000220
1993H     0.024820    0.024820    0.000000   16.734650    0.016900    0.699250    0.012430    0.250290    0.015130  -0.000080   0.000160  -0.000060
1993O     0.052980    0.052980    0.000000   17.613560    0.010690    0.901400    0.010020   -0.014190    0.011040   0.000070   0.000070   0.000020
1994M     0.024160    0.024160    0.000000   16.204500    0.040900    0.854290    0.019270    0.040220    0.021520  -0.000480   0.000750  -0.000190
1994S     0.016150    0.016150    0.000000   14.759610    0.016900    1.018450    0.026240    0.016240    0.017270   0.000300   0.000130  -0.000030
1995ac    0.048760    0.048760    0.000000   17.026040    0.009280    1.042140    0.012850    0.009790    0.009510   0.000050   0.000050   0.000020
