# name          zcmb        zhel          dz        dist       ddist       delta      ddelta          Av         dAv  cov_m_del   cov_m_Av  cov_delta_Av
2001fo	        0.772       0.772       0.00      27.302       0.150       0.000       0.000         0.10       0.00      0.000      0.000         0.000
2001fs          0.874       0.874       0.00      28.170       0.380       0.000       0.000         0.28       0.00      0.000      0.000         0.000
2001hs          0.833       0.833       0.00      27.750       0.285       0.000       0.000         0.11       0.00      0.000      0.000         0.000
2001hu          0.882       0.882       0.00      28.150       0.390       0.000       0.000         0.20       0.00      0.000      0.000         0.000
2001hx          0.799       0.799       0.00      28.358       0.300       0.000       0.000         0.32       0.00      0.000      0.000         0.000
2001hy          0.812       0.812       0.00      28.157       0.345       0.000       0.000         0.10       0.00      0.000      0.000         0.000
2001iv          0.3965      0.3965      0.00      26.142       0.170       0.000       0.000         0.41       0.00      0.000      0.000         0.000
2001iw          0.3396      0.3396      0.00      25.831       0.165       0.000       0.000         0.50       0.00      0.000      0.000         0.000
2001ix          0.711       0.711       0.00      27.531       0.210       0.000       0.000         0.08       0.00      0.000      0.000         0.000
2001iy          0.568       0.568       0.00      26.560       0.165       0.000       0.000         0.03       0.00      0.000      0.000         0.000
2001jb          0.698       0.698       0.00      27.830       0.320       0.000       0.000         0.34       0.00      0.000      0.000         0.000
2001jf          0.815       0.815       0.00      28.259       0.275       0.000       0.000         0.09       0.00      0.000      0.000         0.000
2001jh          0.885       0.885       0.00      27.930       0.295       0.000       0.000         0.11       0.00      0.000      0.000         0.000
2001jm          0.978       0.978       0.00      28.031       0.255       0.000       0.000         0.05       0.00      0.000      0.000         0.000
2001jp          0.528       0.528       0.00      26.745       0.115       0.000       0.000         0.03       0.00      0.000      0.000         0.000
2001kd          0.936       0.936       0.00      28.230       0.380       0.000       0.000         0.14       0.00      0.000      0.000         0.000
2002P           0.719       0.719       0.00      27.341       0.250       0.000       0.000         0.05       0.00      0.000      0.000         0.000
2002W           1.031       1.031       0.00      28.227       0.615       0.000       0.000         0.10       0.00      0.000      0.000         0.000
2002X           0.859       0.859       0.00      27.665       0.480       0.000       0.000         0.14       0.00      0.000      0.000         0.000
2002aa          0.946       0.946       0.00      28.218       0.340       0.000       0.000         0.04       0.00      0.000      0.000         0.000
2002ab          0.423       0.423       0.00      26.202       0.150       0.000       0.000         0.10       0.00      0.000      0.000         0.000
2002ad          0.514       0.514       0.00      26.736       0.265       0.000       0.000         0.22       0.00      0.000      0.000         0.000
