# snname     z_cmb       z_hel       dz          mb           dmb        stretch     dstretch   E(B-V)      dE(B-V)    cov_mb_s      cov_mag_ebv   cov_s_ebv
   1990O     0.0302      0.0303      0.0000      16.1760      0.0270     1.1060      0.0260      0.0010      0.0260     0.00016000   -0.00051168   0.00
  1990af     0.0502      0.0506      0.0000      17.7600      0.0090     0.7490      0.0100      0.0110      0.0110    -1.2000E-05   -6.9000E-05   0.00
   1992P     0.0263      0.0252      0.0000      16.0490      0.0170     1.0610      0.0270     -0.0080      0.0190     8.9000E-05   -0.00023644   0.00
  1992ae     0.0748      0.0752      0.0000      18.4160      0.0440     0.9570      0.0180      0.0030      0.0310     0.00026300    -0.0011381   0.00
  1992ag     0.0259      0.0249      0.0000      16.2640      0.0240     1.0530      0.0150      0.1890      0.0210     0.00012000   -0.00039900   0.00
  1992al     0.0141      0.0146      0.0000      14.4780      0.0120     0.9590      0.0110     -0.0250      0.0130    -4.7000E-05   -0.00010508   0.00
  1992aq     0.1009      0.1018      0.0000      19.3040      0.0220     0.8780      0.0170     -0.0190      0.0260    -0.00015200   -0.00042165   0.00
  1992bc     0.0198      0.0202      0.0000      15.1030      0.0080     1.0530      0.0060     -0.0460      0.0090    -2.5000E-05   -3.9000E-05   0.00
  1992bg     0.0357      0.0352      0.0000      16.6550      0.0440     1.0030      0.0140     -0.0060      0.0260     0.00011400   -0.00098592   0.00
  1992bh     0.0451      0.0450      0.0000      17.6010      0.0200     1.0270      0.0160      0.1000      0.0190     0.00017300   -0.00029767   0.00
  1992bl     0.0429      0.0437      0.0000      17.3110      0.0340     0.8120      0.0120     -0.0020      0.0240     0.00019400   -0.00068139   0.00
  1992bo     0.0181      0.0189      0.0000      15.7780      0.0130     0.7560      0.0050      0.0430      0.0120    -5.0000E-05   -8.6000E-05   0.00
  1992bp     0.0789      0.0793      0.0000      18.2940      0.0150     0.9060      0.0140     -0.0560      0.0170        -0.0000   -0.00017567   0.00
  1992bs     0.0634      0.0637      0.0000      18.2000      0.0390     1.0380      0.0160     -0.0310      0.0240     0.00023900   -0.00082145   0.00
   1993B     0.0707      0.0696      0.0000      18.3700      0.0440     1.0210      0.0190      0.0710      0.0290    -0.00013900    -0.0010891   0.00
   1993O     0.0519      0.0510      0.0000      17.6410      0.0120     0.9260      0.0070     -0.0140      0.0120    -5.2000E-05   -1.0000E-04   0.00
  1993ag     0.0500      0.0490      0.0000      17.8260      0.0180     0.9360      0.0150      0.1200      0.0210    -2.2000E-05   -0.00024780   0.00
