# name          zcmb        zhel          dz        dist       ddist       delta      ddelta          Ab         dAb  cov_m_del   cov_m_Ab  cov_delta
1990T       0.040000    0.040000    0.000000   36.750000    0.190000    0.000000    0.000000    0.370000    0.000000   0.000000   0.000000   0.000000
1990af      0.050000    0.050000    0.000000   36.799999    0.210000    0.000000    0.000000   -0.040000    0.000000   0.000000   0.000000   0.000000
1990O       0.030700    0.030700    0.000000   36.010002    0.200000    0.000000    0.000000    0.110000    0.000000   0.000000   0.000000   0.000000
1991S       0.056000    0.056000    0.000000   37.510002    0.180000    0.000000    0.000000    0.200000    0.000000   0.000000   0.000000   0.000000
1991U       0.033100    0.033100    0.000000   35.910000    0.200000    0.000000    0.000000    0.370000    0.000000   0.000000   0.000000   0.000000
1992J       0.046000    0.046000    0.000000   36.599998    0.210000    0.000000    0.000000    0.250000    0.000000   0.000000   0.000000   0.000000
1992P       0.026500    0.026500    0.000000   35.809998    0.200000    0.000000    0.000000    0.170000    0.000000   0.000000   0.000000   0.000000
1992aq      0.101000    0.101000    0.000000   38.700001    0.200000    0.000000    0.000000   -0.030000    0.000000   0.000000   0.000000   0.000000
1992ae      0.075000    0.075000    0.000000   37.930000    0.190000    0.000000    0.000000    0.160000    0.000000   0.000000   0.000000   0.000000
1992au      0.061000    0.061000    0.000000   37.389999    0.220000    0.000000    0.000000    0.090000    0.000000   0.000000   0.000000   0.000000
1992al      0.014100    0.014100    0.000000   34.169998    0.250000    0.000000    0.000000    0.050000    0.000000   0.000000   0.000000   0.000000
1992ag      0.026200    0.026200    0.000000   35.600002    0.240000    0.000000    0.000000    0.540000    0.000000   0.000000   0.000000   0.000000
1992bl      0.043000    0.043000    0.000000   36.489998    0.190000    0.000000    0.000000   -0.040000    0.000000   0.000000   0.000000   0.000000
1992bh      0.045000    0.045000    0.000000   37.320000    0.180000    0.000000    0.000000    0.350000    0.000000   0.000000   0.000000   0.000000
1992bg      0.036000    0.036000    0.000000   36.379997    0.190000    0.000000    0.000000    0.210000    0.000000   0.000000   0.000000   0.000000
1992bk      0.058000    0.058000    0.000000   37.160000    0.190000    0.000000    0.000000    0.030000    0.000000   0.000000   0.000000   0.000000
1992bs      0.063000    0.063000    0.000000   37.929996    0.190000    0.000000    0.000000    0.260000    0.000000   0.000000   0.000000   0.000000
1992bc      0.018600    0.018600    0.000000   34.919998    0.220000    0.000000    0.000000   -0.040000    0.000000   0.000000   0.000000   0.000000
1992bp      0.079000    0.079000    0.000000   37.969997    0.180000    0.000000    0.000000    0.030000    0.000000   0.000000   0.000000   0.000000
1992br      0.088000    0.088000    0.000000   38.029999    0.280000    0.000000    0.000000   -0.040000    0.000000   0.000000   0.000000   0.000000
1992bo      0.017800    0.017800    0.000000   34.690002    0.230000    0.000000    0.000000   -0.010000    0.000000   0.000000   0.000000   0.000000
1993B       0.071000    0.071000    0.000000   38.139999    0.190000    0.000000    0.000000    0.360000    0.000000   0.000000   0.000000   0.000000
1993H       0.025100    0.025100    0.000000   35.139999    0.210000    0.000000    0.000000    0.050000    0.000000   0.000000   0.000000   0.000000
1993O       0.052000    0.052000    0.000000   37.290001    0.180000    0.000000    0.000000    0.130000    0.000000   0.000000   0.000000   0.000000
1993ah      0.028600    0.028600    0.000000   35.789997    0.210000    0.000000    0.000000    0.260000    0.000000   0.000000   0.000000   0.000000
1993ac      0.049000    0.049000    0.000000   37.440002    0.200000    0.000000    0.000000    0.540000    0.000000   0.000000   0.000000   0.000000
1993ag      0.050000    0.050000    0.000000   37.360001    0.190000    0.000000    0.000000    0.280000    0.000000   0.000000   0.000000   0.000000
1993ae      0.018000    0.018000    0.000000   34.290001    0.230000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1994B       0.089000    0.089000    0.000000   38.500000    0.170000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1994C       0.051000    0.051000    0.000000   36.669998    0.160000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1994M       0.024400    0.024400    0.000000   35.320000    0.200000    0.000000    0.000000    0.230000    0.000000   0.000000   0.000000   0.000000
1994Q       0.029000    0.029000    0.000000   36.030003    0.190000    0.000000    0.000000    0.330000    0.000000   0.000000   0.000000   0.000000
1994S       0.016100    0.016100    0.000000   34.560001    0.240000    0.000000    0.000000    0.060000    0.000000   0.000000   0.000000   0.000000
1994T       0.036000    0.036000    0.000000   36.099998    0.200000    0.000000    0.000000    0.090000    0.000000   0.000000   0.000000   0.000000
1995E       0.011600    0.011600    0.000000   35.439999    0.290000    0.000000    0.000000    2.480000    0.000000   0.000000   0.000000   0.000000
1995K       0.478000    0.478000    0.000000   42.520000    0.230000    0.000000    0.000000    0.040000    0.000000   0.000000   0.000000   0.000000
1995M       0.053000    0.053000    0.000000   37.169998    0.150000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1995ap      0.230000    0.230000    0.000000   40.439999    0.460000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1995ao      0.300000    0.300000    0.000000   40.759998    0.600000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1995ae      0.067000    0.067000    0.000000   37.540001    0.340000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1995az      0.450000    0.450000    0.000000   42.130001    0.210000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1995ay      0.480000    0.480000    0.000000   42.369999    0.200000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1995ax      0.615000    0.615000    0.000000   42.849998    0.230000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1995aw      0.400000    0.400000    0.000000   42.040001    0.190000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1995as      0.498000    0.498000    0.000000   43.209999    0.240000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1995ar      0.465000    0.465000    0.000000   42.810001    0.220000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1995ac      0.049000    0.049000    0.000000   36.920002    0.200000    0.000000    0.000000    0.400000    0.000000   0.000000   0.000000   0.000000
1995ak      0.021900    0.021900    0.000000   35.260002    0.220000    0.000000    0.000000    0.560000    0.000000   0.000000   0.000000   0.000000
1995ba      0.388000    0.388000    0.000000   42.070000    0.190000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1995bd      0.015200    0.015200    0.000000   34.810001    0.250000    0.000000    0.000000    0.700000    0.000000   0.000000   0.000000   0.000000
1996C       0.027600    0.027600    0.000000   36.240002    0.200000    0.000000    0.000000    0.340000    0.000000   0.000000   0.000000   0.000000
1996E       0.425000    0.425000    0.000000   42.049999    0.400000    0.000000    0.000000    0.350000    0.000000   0.000000   0.000000   0.000000
1996H       0.620000    0.620000    0.000000   43.200001    0.300000    0.000000    0.000000    0.090000    0.000000   0.000000   0.000000   0.000000
