# name          zcmb        zhel          dz        dist       ddist       delta      ddelta          Av         dAv  cov_m_del   cov_m_Av  cov_delta_Av
sn72E       0.002300    0.002300    0.000000   12.127258    0.165000    0.000000    0.000000    0.100000    0.000000   0.000000   0.000000   0.000000
sn80N       0.005600    0.005600    0.000000   15.977743    0.215000    0.000000    0.000000    0.210000    0.000000   0.000000   0.000000   0.000000
sn81B       0.007200    0.007200    0.000000   15.715645    0.205000    0.000000    0.000000    0.250000    0.000000   0.000000   0.000000   0.000000
sn81D       0.005600    0.005600    0.000000   15.629999    0.275000    0.000000    0.000000    0.310000    0.000000   0.000000   0.000000   0.000000
sn86G       0.002700    0.002700    0.000000   12.848065    0.175000    0.000000    0.000000    0.490000    0.000000   0.000000   0.000000   0.000000
sn88U       0.310000    0.310000    0.000000   25.612259    0.360000    0.000000    0.000000    0.100000    0.000000   0.000000   0.000000   0.000000
sn89B       0.003600    0.003600    0.000000   15.198709    0.150000    0.000000    0.000000    0.740000    0.000000   0.000000   0.000000   0.000000
sn90N       0.004400    0.004400    0.000000   16.416775    0.175000    0.000000    0.000000    0.300000    0.000000   0.000000   0.000000   0.000000
sn90O       0.030700    0.030700    0.000000   20.004032    0.125000    0.000000    0.000000    0.090000    0.000000   0.000000   0.000000   0.000000
sn90T       0.040000    0.040000    0.000000   20.835644    0.210000    0.000000    0.000000    0.250000    0.000000   0.000000   0.000000   0.000000
sn90Y       0.039000    0.039000    0.000000   20.639193    0.195000    0.000000    0.000000    0.540000    0.000000   0.000000   0.000000   0.000000
sn90af      0.050000    0.050000    0.000000   20.824356    0.130000    0.000000    0.000000    0.060000    0.000000   0.000000   0.000000   0.000000
sn91M       0.007600    0.007600    0.000000   16.985001    0.150000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn91S       0.056000    0.056000    0.000000   21.560484    0.210000    0.000000    0.000000    0.110000    0.000000   0.000000   0.000000   0.000000
sn91T       0.007000    0.007000    0.000000   15.466290    0.140000    0.000000    0.000000    0.500000    0.000000   0.000000   0.000000   0.000000
