#Title: Improved Dark Energy Constraints from ~100 New CfA Supernova Type Ia 2009
#       Light Curves 
#Authors: Hicken M., Wood-Vasey W.M., Blondin S., Challis P., Jha S., 
#         Kelly P.L., Rest A., Kirshner R.P. 
#Table: SALT Light Curve Fit Parameters and Distances.  Constitution Set
#================================================================================
#Byte-by-byte Description of file: apj309429t1_mrt.txt
#--------------------------------------------------------------------------------
#   Bytes Format Units   Label  Explanations
#--------------------------------------------------------------------------------
#   1-  9 A9     ---     ID     SN Ia identification
#  11- 15 F5.3   ---     zCMB   Redshift in the CMB frame
#  17- 21 F5.3   ---   e_zCMB   Uncertainty in zCMB
#  23- 28 F6.3   mag     Bmag   Apparent B band magnitude
#  30- 34 F5.3   mag   e_Bmag   Uncertainty in Bmag (1)
#  36- 41 F6.3   ---     s      Light curve stretch parameter
#  43- 47 F5.3   ---   e_s      Uncertainty in s 
#  49- 54 F6.3   ---     c      Color parameter
#  56- 60 F5.3   ---   e_c      Uncertainty in c 
#  62- 67 F6.3   mag     mu     Distance modulus (2) 
#  69- 73 F5.3   mag   e_mu     Uncertainty in mu
#--------------------------------------------------------------------------------
#Note (1): The uncertainty is a modified value for the Union set SN Ia, 
#          calculated by subtracting the color and stretch uncertainties from 
#          {sigma}_{mu} of K08 so as to include the sample-dependent systematic 
#          uncertainty of K08.  For the CfA3 sample, 0.138 mag is added in 
#          quadrature to the actual uncertainty of Bmag. 
#Note (2): Calculated with H_o_ = 65 km/s/Mpc, Bmag = -19.46, 
#          {alpha} = 1.34^+0.08^_-0.08_ and {beta} = 2.59^+0.12^_-0.08_.  
#          Uncertainty includes uncertainties of Bmag, s, c, 
#          {sigma}_v-pec_(400 km/s), and {sigma}_z.
#--------------------------------------------------------------------------------
1993ag    0.050 0.001 17.790 0.108  0.910 0.020  0.090 0.020 36.910 0.135 
1993o     0.053 0.001 17.610 0.111  0.900 0.010 -0.010 0.020 36.977 0.134 
1993h     0.025 0.001 16.740 0.145  0.680 0.010  0.210 0.010 35.264 0.186 
1993b     0.070 0.001 18.380 0.040  0.990 0.030  0.040 0.040 37.729 0.124 
1992bs    0.063 0.001 18.180 0.108  1.000 0.020 -0.030 0.020 37.722 0.131 
1992br    0.088 0.001 19.400 0.001  0.650 0.040  0.030 0.050 38.353 0.143 
1992bp    0.079 0.001 18.280 0.108  0.870 0.020 -0.040 0.020 37.687 0.128 
1992bo    0.017 0.001 15.750 0.168  0.740 0.010  0.030 0.010 34.815 0.235 
1992bl    0.042 0.001 17.290 0.108  0.790 0.020 -0.010 0.020 36.520 0.140 
1992bh    0.045 0.001 17.590 0.121  0.980 0.010  0.100 0.010 36.771 0.139 
1992bc    0.020 0.001 15.070 0.156  1.010 0.010 -0.060 0.010 34.702 0.214 
1992aq    0.101 0.001 19.300 0.108  0.840 0.020 -0.050 0.020 38.696 0.126 
1992ag    0.027 0.001 16.240 0.127  1.030 0.040  0.150 0.020 35.353 0.179 
1992ae    0.075 0.001 18.390 0.108  0.940 0.020 -0.020 0.020 37.832 0.129 
1992p     0.026 0.001 16.030 0.107  1.140 0.080 -0.010 0.020 35.694 0.188 
1990af    0.050 0.001 17.730 0.121  0.740 0.010  0.000 0.010 36.872 0.137 
1990o     0.031 0.001 16.200 0.118  1.040 0.030  0.000 0.020 35.714 0.163 
2001cz    0.016 0.001 15.030 0.106  1.010 0.020  0.110 0.010 34.222 0.204 
2001cn    0.015 0.001 15.220 0.121  0.920 0.010  0.170 0.010 34.145 0.219 
2001ba    0.030 0.001 16.180 0.013  1.000 0.010 -0.040 0.010 35.748 0.098 
2000ca    0.025 0.001 15.510 0.053  1.000 0.030 -0.060 0.010 35.130 0.135 
2000bh    0.024 0.001 15.940 0.040  0.940 0.040  0.100 0.020 35.071 0.143 
1999gp    0.026 0.001 15.990 0.053  1.130 0.030  0.040 0.010 35.512 0.129 
1993ac    0.049 0.001 17.800 0.083  0.780 0.060  0.080 0.040 36.785 0.163 
1994m     0.024 0.001 16.300 0.159  0.780 0.020  0.110 0.020 35.207 0.205 
1994s     0.015 0.001 14.770 0.196  1.090 0.050 -0.010 0.020 34.372 0.280 
1994t     0.036 0.001 17.050 0.084  0.840 0.040  0.020 0.050 36.264 0.181 
1995ac    0.049 0.001 17.030 0.145  1.040 0.010  0.010 0.010 36.518 0.159 
1995ak    0.022 0.001 15.870 0.105  0.890 0.040  0.070 0.050 35.017 0.216 
