0.030   35.90  0 0.21
0.040   36.38  0 0.20
0.050   36.84  0 0.22
0.033   35.53  0 0.21
0.056   37.31  0 0.19
0.026   35.63  0 0.22
0.036   36.17  0 0.20
0.043   36.52  0 0.19
0.045   36.99  0 0.18
0.046   36.35  0 0.21
0.058   37.13  0 0.19
0.061   37.31  0 0.22
0.063   37.67  0 0.19
0.075   37.77  0 0.19
0.079   37.94  0 0.18
0.088   38.07  0 0.28
0.101   38.70  0 0.20
0.025   35.09  0 0.22
0.028   35.53  0 0.22
0.050   37.07  0 0.19
0.052   37.16  0 0.18
0.071   37.78  0 0.19
0.024   35.09  0 0.22
0.029   35.70  0 0.21
0.036   36.01  0 0.21
0.478   42.48  0 0.23
0.049   36.55  0 0.20
0.400   42.04  0 0.19
0.615   42.85  0 0.23
0.480   42.37  0 0.20
0.450   42.13  0 0.21
0.388   42.07  0 0.19
0.425   41.69  0 0.40
0.620   43.11  0 0.28
0.570   42.80  0 0.25
0.300   41.01  0 0.25
0.380   42.02  0 0.22
0.430   42.33  0 0.34
0.027   35.90  0 0.21
0.034   36.19  0 0.20
0.124   39.19  0 0.22
0.495   42.25  0 0.19
0.828   43.96  0 0.46
0.538   42.66  0 0.18
0.860   44.03  0 0.30
0.778   43.81  0 0.35
0.508   42.19  0 0.35
0.518   42.83  0 0.31
0.334   40.92  0 0.30
0.440   42.07  0 0.19
0.500   42.73  0 0.20
0.029   36.13  0 0.21
0.580   43.04  0 0.21
0.526   42.56  0 0.18
0.172   39.79  0 0.18
0.180   39.98  0 0.18
0.472   42.46  0 0.19
0.430   41.99  0 0.18
0.657   43.27  0 0.20
0.320   41.45  0 0.18
0.579   42.86  0 0.19
0.450   42.10  0 0.23
0.581   42.63  0 0.19
0.416   42.10  0 0.19
0.830   43.85  0 0.19
0.430   42.36  0 0.25
0.740   43.35  0 0.30
0.460   41.81  0 0.40
0.630   43.26  0 0.37
0.828   43.59  0 0.61
0.032   36.08  0 0.20
0.053   36.95  0 0.19
0.459   42.67  0 0.22
0.511   42.83  0 0.21
0.474   42.81  0 0.22
0.537   42.85  0 0.41
0.477   42.38  0 0.21
0.455   42.29  0 0.28
0.815   43.75  0 0.33
0.949   44.00  0 0.24
1.056   44.35  0 0.23
0.278   41.01  0 0.41
0.025   35.40  0 0.22
0.026   35.57  0 0.21
0.031   35.84  0 0.21
0.038   36.67  0 0.19
1.199   44.19  0 0.34
0.470   42.76  0 0.21
0.500   42.74  0 0.24
0.540   41.96  0 0.41
0.470   42.73  0 0.23
0.490   42.40  0 0.25
0.543   42.67  0 0.19
0.026   35.35  0 0.23
0.036   36.39  0 0.19
0.884   44.22  0 0.19
0.882   43.89  0 0.30
0.570   42.87  0 0.31
0.528   42.76  0 0.25
0.771   43.12  0 0.17
0.832   43.55  0 0.29
0.798   43.88  0 0.31
0.811   43.97  0 0.35
0.815   44.09  0 0.28
0.977   43.91  0 0.26
1.755   45.35  0 0.35\ 
0.475   42.24  0 0.20 
0.950   43.98  0 0.34 
0.840   43.67  0 0.21 
0.954   44.30  0 0.27
0.900   43.64  0 0.25
0.935   43.97  0 0.29
0.670   43.19  0 0.24
0.735   43.14  0 0.19
0.640   43.01  0 0.25
1.340   44.92  0 0.31
1.140   44.71  0 0.29
1.305   44.51  0 0.30
1.300   45.06  0 0.20
0.970   44.67  0 0.36
1.370   45.23  0 0.25
1.020   43.99  0 0.27
1.230   45.17  0 0.23
1.140   44.44  0 0.31
0.975   44.21  0 0.26
1.230   44.97  0 0.20
0.954   43.85  0 0.27
0.740   43.38  0 0.22
0.460   42.23  0 0.32
0.854   43.96  0 0.29
0.839   43.45  0 0.20
1.020   44.52  0 0.19
1.120   44.67  0 0.18
1.010   44.77  0 0.19
1.390   44.90  0 0.19
0.504   42.61  0 0.17
0.582   43.07  0 0.17
0.496   42.36  0 0.17
0.870   44.28  0 0.34
0.679   43.58  0 0.19
0.331   41.13  0 0.17
0.688   43.23  0 0.17
0.800   43.67  0 0.19
0.532   42.78  0 0.18
0.449   42.05  0 0.17
0.371   41.67  0 0.17
0.249   40.76  0 0.17
0.463   42.27  0 0.17
0.461   42.22  0 0.17
0.285   40.92  0 0.17
0.633   43.32  0 0.18
0.949   43.69  0 0.32
0.695   43.21  0 0.19
0.627   42.93  0 0.17
0.905   43.89  0 0.30
0.604   42.70  0 0.17
0.791   43.54  0 0.18
0.592   42.75  0 0.19
0.571   42.65  0 0.18
0.557   42.70  0 0.17
0.369   41.67  0 0.17
0.415   41.96  0 0.17
0.357   41.63  0 0.17
0.430   41.96  0 0.17
0.707   43.42  0 0.21
0.620   43.21  0 0.18
0.643   43.21  0 0.18
0.470   42.45  0 0.17
0.610   42.98  0 0.17
0.263   40.87  0 0.17
0.358   41.66  0 0.17
0.730   43.47  0 0.18
0.552   42.65  0 0.17
0.337   41.44  0 0.17
0.822   43.73  0 0.27
0.950   44.14  0 0.31
0.340   41.51  0 0.17
0.756   43.64  0 0.17
0.613   43.15  0 0.18
0.550   42.67  0 0.17
0.811   44.13  0 0.31
0.961   44.18  0 0.33
